Region Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
US48,4/6/2024 12 a.m. EDT,421253.26,417124.4,422334.26,3375
US48,4/6/2024 1 a.m. EDT,405632.2,402626.2,405116.2,3060
US48,4/6/2024 2 a.m. EDT,393138.93,388429.3,393376.93,2902
US48,4/6/2024 3 a.m. EDT,383493.28,379760.8,384690.28,3226
US48,4/6/2024 4 a.m. EDT,378833.38,375732.4,379461.38,2976
US48,4/6/2024 5 a.m. EDT,377710.07,376640.2,378129.07,3317
US48,4/6/2024 6 a.m. EDT,382130.1,381612.9,382408.1,2969
US48,4/6/2024 7 a.m. EDT,391928.06,391294.1,391370.06,2264
US48,4/6/2024 8 a.m. EDT,402649.35,402758.6,401862.35,1880
US48,4/6/2024 9 a.m. EDT,409441.25,411168.9,408822.25,1703
US48,4/6/2024 10 a.m. EDT,412131.43,415004.8,411949.43,3047
US48,4/6/2024 11 a.m. EDT,413810.97,414147.4,411770.97,3634
US48,4/6/2024 12 p.m. EDT,411208.81,409428.5,408983.81,3047
US48,4/6/2024 1 p.m. EDT,407260.54,402903.7,406669.54,3901
US48,4/6/2024 2 p.m. EDT,403002.32,396318.7,404346.32,4177
US48,4/6/2024 3 p.m. EDT,399699.88,392845.7,401543.88,4393
US48,4/6/2024 4 p.m. EDT,398583.62,392842.1,400597.62,4308
US48,4/6/2024 5 p.m. EDT,401471.28,395885.8,402958.28,3692
US48,4/6/2024 6 p.m. EDT,405168.55,401748.4,405395.55,2534
US48,4/6/2024 7 p.m. EDT,407712.22,407172.9,408258.22,2452
US48,4/6/2024 8 p.m. EDT,411621.37,413369,412012.37,1680
US48,4/6/2024 9 p.m. EDT,417982.92,418775,419148.92,1861
US48,4/6/2024 10 p.m. EDT,419098.21,418647.2,421816.21,1831
US48,4/6/2024 11 p.m. EDT,412286.31,411610.3,414250.31,2703
US48,4/7/2024 12 a.m. EDT,401301.21,399812.2,402827.21,3179
US48,4/7/2024 1 a.m. EDT,389726.52,383564.5,390463.52,3199
US48,4/7/2024 2 a.m. EDT,380013.33,371550.7,382710.33,3643
US48,4/7/2024 3 a.m. EDT,372136.53,360824.8,374295.53,3798
US48,4/7/2024 4 a.m. EDT,367618.26,359781.3,368155.26,3101
US48,4/7/2024 5 a.m. EDT,367092.83,359512,368850.83,3273
US48,4/7/2024 6 a.m. EDT,369869.46,363510.5,370923.46,2637
US48,4/7/2024 7 a.m. EDT,376574.84,370764.7,377364.84,2088
US48,4/7/2024 8 a.m. EDT,384852.46,379346.9,384711.46,1796
US48,4/7/2024 9 a.m. EDT,389323.55,386645,390469.55,2333
US48,4/7/2024 10 a.m. EDT,391919.53,390974.5,393498.53,2714
US48,4/7/2024 11 a.m. EDT,394717.44,390599.8,394509.44,2009
US48,4/7/2024 12 p.m. EDT,394314.83,388713.4,393298.83,2110
US48,4/7/2024 1 p.m. EDT,393999.06,385763.2,395632.06,3079
US48,4/7/2024 2 p.m. EDT,392576.75,382933,394124.75,3191
US48,4/7/2024 3 p.m. EDT,393341.05,381647.8,394436.05,3108
US48,4/7/2024 4 p.m. EDT,393976.31,384288.8,395969.31,3093
US48,4/7/2024 5 p.m. EDT,398912.21,390203.7,401357.21,3067
US48,4/7/2024 6 p.m. EDT,407196.76,398019.8,408583.76,2381
